tile_id,zone,row,col,tile_area_m2,street_len_m,bldg_area_m2,bldg_count,street_km_per_km2,bldg_coverage
west_00_00,west,0,0,41826.38177693473,150.29769149447694,4177.2642599380415,2,3.593370621825075,0.09987151846449231
west_00_01,west,1,0,85191.67172306334,729.5938590993062,12079.357486856892,12,8.564145348280428,0.14179035629355696
west_00_02,west,2,0,85191.67172306334,285.95332509808884,8931.716597479495,14,3.3565877897977052,0.10484260276655041
west_00_03,west,3,0,85191.67172306334,383.47133791961494,17685.181053919507,17,4.501277298163413,0.20759283972510334
west_00_04,west,4,0,85191.67172306334,208.04515920398177,10315.709488579818,8,2.4420833045779893,0.12108823879068356
west_00_05,west,5,0,85191.67172306334,89.86924115612284,3556.5879476619366,4,1.0549064167711732,0.0417480708586575
west_00_06,west,6,0,85191.67172306334,43.05968748474021,7945.45105164244,5,0.505444800105771,0.09326558442791333
west_00_07,west,7,0,85191.67172306334,858.1245443493058,2735.4285825756688,5,10.072868943561202,0.032109107935666036
west_00_08,west,8,0,85191.67172306334,1555.7840807959935,6610.266322591114,1,18.262161656522665,0.0775928701584754
west_00_09,west,9,0,85191.67172306334,19.943642769200615,8893.648349698458,8,0.23410319771670135,0.1043957486667179
west_00_10,west,10,0,85191.67172306334,0.0,9143.482245793553,6,0.0,0.10732835805261236
west_00_11,west,11,0,85191.67172306334,0.0,12069.209437652891,7,0.0,0.141671236090857
west_00_12,west,12,0,85191.67172306334,159.53946510839802,5792.2418110758745,7,1.872711990287274,0.06799070488844254
west_00_13,west,13,0,85191.67172306334,62.14086808022089,0.0,0,0.7294242127590264,0.0
west_00_14,west,14,0,85191.67172306334,239.18413077798218,0.0,0,2.8075999207470597,0.0
west_00_15,west,15,0,85191.67172306334,365.04890009241103,2817.2198883762294,2,4.285030363990192,0.0330691936359026
west_00_16,west,16,0,85191.67172306334,0.0,6982.513354901967,4,0.0,0.0819623939016053
west_00_17,west,17,0,53601.13652512816,0.0,7403.621534773638,2,0.0,0.13812433867522245
west_01_00,west,0,1,122741.99147336185,5520.362899494611,4128.360563603199,4,44.97534082044506,0.033634459682847485
west_01_01,west,1,1,250000.0,7431.288170966516,43917.03159133193,46,29.725152683866064,0.17566812636532772
west_01_02,west,2,1,250000.0,7766.739935183888,65046.7464001647,75,31.06695974073555,0.2601869856006588
west_01_03,west,3,1,250000.0,6781.740316215814,52379.31591309302,46,27.126961264863258,0.20951726365237208
