zone,rep,r,lambda,lambda_norm,p,lambda_r1_density
west,streets,8,4.40976,1.0,0.14341,6.97296
west,streets,16,3.40316,0.77173,0.14341,6.97296
west,streets,32,2.44574,0.55462,0.14341,6.97296
west,streets,64,1.73406,0.39323,0.14341,6.97296
west,streets,128,1.33729,0.30326,0.14341,6.97296
west,streets,256,1.13027,0.25631,0.14341,6.97296
west,streets,512,1.04084,0.23603,0.14341,6.97296
west,footprints,8,2.25051,1.0,0.2566,3.89705
west,footprints,16,1.71631,0.76263,0.2566,3.89705
west,footprints,32,1.38826,0.61687,0.2566,3.89705
west,footprints,64,1.20835,0.53692,0.2566,3.89705
west,footprints,128,1.11655,0.49613,0.2566,3.89705
west,footprints,256,1.06215,0.47196,0.2566,3.89705
west,footprints,512,1.02459,0.45527,0.2566,3.89705
center,streets,8,4.20789,1.0,0.1257,7.9557
center,streets,16,3.12624,0.74295,0.1257,7.9557
center,streets,32,2.2572,0.53642,0.1257,7.9557
center,streets,64,1.6732,0.39764,0.1257,7.9557
center,streets,128,1.3343,0.31709,0.1257,7.9557
center,streets,256,1.13267,0.26918,0.1257,7.9557
center,streets,512,1.04719,0.24886,0.1257,7.9557
center,footprints,8,2.42388,1.0,0.2336,4.28081
center,footprints,16,1.91407,0.78967,0.2336,4.28081
center,footprints,32,1.57644,0.65038,0.2336,4.28081
center,footprints,64,1.36218,0.56198,0.2336,4.28081
center,footprints,128,1.20927,0.4989,0.2336,4.28081
center,footprints,256,1.09775,0.45289,0.2336,4.28081
center,footprints,512,1.03437,0.42674,0.2336,4.28081
east,streets,8,4.40808,1.0,0.13784,7.25484
east,streets,16,3.36461,0.76328,0.13784,7.25484
east,streets,32,2.39868,0.54416,0.13784,7.25484
east,streets,64,1.69147,0.38372,0.13784,7.25484
east,streets,128,1.30958,0.29709,0.13784,7.25484
east,streets,256,1.12592,0.25542,0.13784,7.25484
east,streets,512,1.06193,0.24091,0.13784,7.25484
east,footprints,8,2.41606,1.0,0.2427,4.12035
east,footprints,16,1.85524,0.76788,0.2427,4.12035
east,footprints,32,1.48904,0.61631,0.2427,4.12035
east,footprints,64,1.29201,0.53476,0.2427,4.12035
east,footprints,128,1.19772,0.49573,0.2427,4.12035
east,footprints,256,1.1535,0.47743,0.2427,4.12035
east,footprints,512,1.1177,0.46261,0.2427,4.12035
