p,Db,Db_r2,lam4,lam8,lam16,lam32,lam64,zone,rep,row,col
0.1136,1.47333,0.99848,7.23654,6.00146,4.33645,2.58463,1.50451,west,streets,0,0
0.10067,1.3052,0.99981,6.31518,4.13724,2.50184,1.55133,1.19323,west,streets,0,1
0.07952,1.4308,0.99971,9.42649,7.48926,5.40948,3.55804,2.27041,west,streets,0,2
0.14626,1.48689,0.99911,5.43658,4.48697,3.17778,2.1575,1.59248,west,streets,1,0
0.07093,1.21748,0.99979,6.99767,4.09013,2.41545,1.55347,1.17893,west,streets,1,1
0.12606,1.37462,0.99969,5.5641,4.26759,3.00908,1.93308,1.34191,west,streets,1,2
0.1355,1.43199,0.9987,5.87894,4.80299,3.38714,2.16566,1.70483,west,streets,2,0
0.13646,1.42344,0.99964,5.40496,4.36083,3.31275,2.15115,1.41252,west,streets,2,1
0.1951,1.49675,0.99967,4.08878,3.36315,2.54586,1.77738,1.32346,west,streets,2,2
0.0543,1.41972,0.99929,15.79222,14.75444,12.36778,9.03063,7.54912,west,streets,3,0
0.09739,1.37251,0.99923,7.11306,4.82313,2.96938,1.94306,1.29604,west,streets,3,1
0.14416,1.44684,0.99822,5.55445,4.43023,3.39988,2.5659,1.75927,west,streets,3,2
0.12035,1.36021,0.99979,6.34139,5.16922,3.81754,2.41848,1.5138,west,streets,4,0
0.11651,1.34756,0.99844,6.50303,4.99142,3.4572,2.21351,1.35362,west,streets,4,1
0.1437,1.42943,0.9985,5.6288,4.5554,3.44692,2.27655,1.55287,west,streets,4,2
0.05886,1.19874,0.99974,8.16908,4.59036,2.53591,1.5221,1.15631,west,streets,5,0
0.22589,1.54518,0.99931,3.49744,2.89821,2.26138,1.77667,1.43702,west,streets,5,1
0.16926,1.46923,0.99993,4.34727,3.52761,2.79645,1.98453,1.34787,west,streets,5,2
0.11034,1.38961,0.99877,6.77117,5.22875,3.61921,2.23765,1.4758,west,streets,6,0
0.17768,1.50085,0.99959,4.365,3.51446,2.58513,1.77429,1.35466,west,streets,6,1
0.12048,1.35632,0.99973,5.40443,3.74669,2.36767,1.57663,1.21139,west,streets,6,2
0.11805,1.44145,0.99847,6.29989,4.89617,3.34562,2.10438,1.55397,west,streets,7,0
0.22006,1.57508,0.99962,3.64457,3.10698,2.49635,1.71642,1.18468,west,streets,7,1
0.08558,1.32257,0.99991,7.94948,5.58672,3.59233,2.24383,1.49941,west,streets,7,2
0.20034,1.59406,0.99865,3.88935,3.31219,2.58495,1.85923,1.3178,west,streets,8,0
