p,Db,Db_r2,lam4,lam8,lam16,lam32,lam64,unit,rep
0.2312,1.54371,0.99931,3.3261,2.82551,2.23741,1.62754,1.22621,shamshuipo,streets
0.32995,1.63947,0.99888,2.47279,2.08364,1.59487,1.19988,1.03262,shamshuipo,streets
0.17858,1.54707,0.99965,4.22717,3.51639,2.73091,2.01935,1.52634,shamshuipo,streets
0.19834,1.53606,0.99806,3.37337,2.65892,2.0279,1.57556,1.26808,shamshuipo,streets
0.27741,1.59792,0.99986,2.94188,2.60911,2.17121,1.61825,1.23644,shamshuipo,streets
0.34773,1.65523,0.99819,2.32806,2.02091,1.6207,1.27321,1.12176,shamshuipo,streets
0.40451,1.69427,0.99906,2.10738,1.84724,1.48061,1.16848,1.04742,shamshuipo,streets
0.25754,1.58165,0.99844,2.81512,2.2762,1.77153,1.41148,1.23242,shamshuipo,streets
0.32018,1.65238,0.99814,2.34727,1.99499,1.61375,1.2411,1.06919,shamshuipo,streets
0.40819,1.70102,0.99924,2.07932,1.85906,1.56642,1.26505,1.13629,shamshuipo,streets
0.45562,1.73952,0.99906,1.87553,1.66428,1.36004,1.11078,1.02624,shamshuipo,streets
0.32474,1.66277,0.99963,2.50835,2.1867,1.78894,1.43184,1.25994,shamshuipo,streets
0.14277,1.50526,0.99953,5.03733,4.15879,3.21212,2.34876,1.67628,shamshuipo,streets
0.36626,1.6771,0.9993,2.18774,1.85623,1.49705,1.22101,1.07525,shamshuipo,streets
0.41253,1.69958,0.99899,2.0749,1.80133,1.47135,1.21504,1.10024,shamshuipo,streets
0.48541,1.76368,0.99905,1.74227,1.53173,1.27068,1.08479,1.02413,shamshuipo,streets
0.06002,1.43922,0.9983,11.57198,9.96014,7.72662,4.75966,2.7495,shamshuipo,streets
0.35339,1.72224,0.9999,2.33938,2.09429,1.81499,1.47994,1.18412,shamshuipo,streets
0.40958,1.716,0.99923,1.98269,1.78272,1.55756,1.32566,1.15353,shamshuipo,streets
0.40342,1.68373,0.99906,2.11268,1.79232,1.38307,1.10304,1.02479,shamshuipo,streets
0.0,,,,,,,,shamshuipo,streets
0.20258,1.78591,0.99971,4.55374,4.34933,4.07737,3.73847,3.41879,shamshuipo,streets
0.41984,1.72815,0.99928,1.95405,1.77914,1.56245,1.31603,1.15883,shamshuipo,streets
0.47547,1.74373,0.99895,1.8421,1.63854,1.38419,1.1767,1.05346,shamshuipo,streets
0.28054,1.59221,0.99898,2.89649,2.40241,1.81413,1.36366,1.10639,shamshuipo,footprints
